label,party,color,fontcolor,size,fontsize,dim11,dim12,dim21,dim22,dim31,dim32
europäische,FDP,#ffe800,#ffe800,10,12,29.941252,27.89807,83.41158,68.46612,22.83427916279188,15.92951095877472
zielen,SPD,#cc0000,#cc0000,10,12,14.091844,14.494656,97.3008,86.40777,38.18765033259047,9.627166762126734
rente,Linke,#900C3F,#900C3F,10,12,65.75767,72.052635,32.371037,42.40182,9.094705164780711,17.787974245180397
europäisch,FDP,#ffe800,#ffe800,10,12,17.044996,19.238964,91.40901,85.22746,32.70730049122801,15.897709521261834
deutsch,AFD,#21a1ff,#21a1ff,10,12,13.475553,3.7388835,88.58434,89.11913,50.73171712073303,43.31852662196038
unternehmen,FDP,#ffe800,#ffe800,10,12,13.176484,21.069853,93.30776,89.685616,35.576424354738734,10.582874282915885
sicherung,SPD,#cc0000,#cc0000,10,12,60.149395,35.543186,62.9771,56.281136,11.908839669637475,14.612852886132712
notwendig,FDP,#ffe800,#ffe800,10,12,37.255894,30.328259,80.64143,62.36359,17.32340955285658,13.011518309959017
erhöhen,Linke,#900C3F,#900C3F,10,12,69.14006,49.384396,63.31913,35.817863,14.137052663268499,15.720002722369106
interesse,SPD,#cc0000,#cc0000,10,12,29.495144,34.491554,81.57969,70.59156,19.902803646597707,18.79324360898086
löhne,Linke,#900C3F,#900C3F,10,12,82.15585,76.85566,47.326202,6.865394,2.764854238162561,14.5911232163239
grünen,Gruene,#029e00,#029e00,10,12,100.0,56.185104,87.30703,1.3898154,8.86706424063808,10.001108911614885
gelten,FDP,#ffe800,#ffe800,10,12,27.356699,27.19217,84.49381,72.59618,23.50711661923283,16.092148218233934
alt,CDUCSU,#343434,#343434,10,12,43.646297,30.078306,76.83506,57.431484,17.66965329481093,13.6826872460832
demokratische,Linke,#900C3F,#900C3F,10,12,80.255775,70.66407,47.90761,11.921231,7.359492205707145,13.890856060125815
innen,Gruene,#029e00,#029e00,10,12,97.43712,57.754158,87.11396,0.51903576,6.864064611599073,11.996309249873846
ermöglichen,FDP,#ffe800,#ffe800,10,12,34.36263,29.47241,81.01927,62.83883,19.166969467583026,14.017042673832943
grundlage,SPD,#cc0000,#cc0000,10,12,54.028545,33.08149,67.06234,56.617367,14.321807694427907,12.555528163186533
gerecht,SPD,#cc0000,#cc0000,10,12,43.450607,20.588095,76.64898,45.725853,20.721342561016165,10.812686160983791
chance,FDP,#ffe800,#ffe800,10,12,34.01255,19.131977,86.548096,65.973885,22.65948938604843,10.96000525515951
gemeinde,SPD,#cc0000,#cc0000,10,12,72.41676,31.281694,61.15449,50.3379,7.053181160957836,14.537564387375337
wettbewerb,FDP,#ffe800,#ffe800,10,12,61.064957,25.990948,59.42853,64.533905,12.555354415289163,15.776127859215395
beschäftigte,Linke,#900C3F,#900C3F,10,12,87.5971,71.9588,49.93881,9.185602,7.727983174723556,12.585820484295493
kultur,Linke,#900C3F,#900C3F,10,12,71.65831,50.39073,64.039246,32.370857,15.340085049082376,16.118400746820566
demokratisch,Linke,#900C3F,#900C3F,10,12,82.618645,48.978233,66.843544,24.827948,15.471029639324312,14.469263956443875
sozialdemokratisch,SPD,#cc0000,#cc0000,10,12,77.026,29.281801,61.42788,47.799267,2.925315585910175,14.97642918349854
kommunal,Linke,#900C3F,#900C3F,10,12,79.50772,73.44997,47.29634,10.986612,6.092015819527986,14.269971313932519
regelung,FDP,#ffe800,#ffe800,10,12,71.958244,37.94431,52.83698,60.06468,8.929576954960375,17.059757438980977
besonder,SPD,#cc0000,#cc0000,10,12,55.41417,38.47648,65.08689,55.934895,14.297861730472098,16.05054939436437
abs,AFD,#21a1ff,#21a1ff,10,12,60.28348,96.58245,2.3527114,47.398975,0.9664223154777296,22.02076691640745
insbesondere,FDP,#ffe800,#ffe800,10,12,19.372229,26.583424,88.20983,82.918335,27.274672042302246,23.502876912535093
staatlich,AFD,#21a1ff,#21a1ff,10,12,49.889004,65.33808,40.76906,44.265728,15.395278569908468,23.328535244304792
fordern,AFD,#21a1ff,#21a1ff,10,12,13.065633,1.8359497,86.79398,87.4735,44.60783302162768,42.73930429532141
liberal,FDP,#ffe800,#ffe800,10,12,44.959034,46.43721,57.173615,65.50362,8.825195053820526,17.122431774063863
staat,FDP,#ffe800,#ffe800,10,12,14.2425995,5.1327605,88.07945,87.06277,44.56615951422187,29.93138577156362
energie,Gruene,#029e00,#029e00,10,12,66.49612,58.84924,56.72812,32.7058,13.65323196368005,13.12393819960103
stellen,Gruene,#029e00,#029e00,10,12,23.711475,24.882942,86.5675,75.83965,26.044505485376103,16.1999557103764
marktwirtschaft,CDUCSU,#343434,#343434,10,12,66.69026,30.239874,58.10549,59.235615,8.019446272673568,16.20337891382782
zuwanderung,AFD,#21a1ff,#21a1ff,10,12,64.160805,94.076454,6.4383345,47.4555,2.8766823956517333,22.76510834255806
zahlen,AFD,#21a1ff,#21a1ff,10,12,61.12464,65.60576,36.18314,43.544636,11.848710315452335,18.362440462134185
linke,Linke,#900C3F,#900C3F,10,12,92.22036,70.84385,60.391582,17.519678,14.451654005241519,7.2076055440383255
alternativ,AFD,#21a1ff,#21a1ff,10,12,60.19618,89.021484,13.19876,45.35635,4.594097831426402,19.46016809649388
ostdeutschland,Linke,#900C3F,#900C3F,10,12,82.648476,73.780075,48.545578,8.253028,4.8569129901436305,13.605744647593813
infrastruktur,Linke,#900C3F,#900C3F,10,12,63.311363,69.76567,34.07273,43.339977,10.31097593870993,18.463218260765117
förderung,FDP,#ffe800,#ffe800,10,12,29.960043,24.964226,84.75514,68.986115,23.23812804828045,11.723092477148723
global,Gruene,#029e00,#029e00,10,12,75.227554,65.55174,53.787636,24.379618,8.208805836435722,13.012290998099402
hoch,FDP,#ffe800,#ffe800,10,12,22.73003,24.337164,86.91429,77.93697,26.781330189062764,16.301740883696866
prozent,Linke,#900C3F,#900C3F,10,12,84.227005,47.57559,65.59087,26.77588,16.456370526350984,18.12219970263348
11,AFD,#21a1ff,#21a1ff,10,12,62.055367,98.68391,0.7304486,49.240177,0.6329962711229727,22.237228390356762
erhalten,AFD,#21a1ff,#21a1ff,10,12,17.186195,23.38611,90.492195,84.37837,33.8285183730479,22.53304984218142
beenden,AFD,#21a1ff,#21a1ff,10,12,60.257553,79.02847,29.240767,45.032112,8.769935776473513,22.280900824295692
csu,CDUCSU,#343434,#343434,10,12,52.107803,11.7521305,68.884254,60.58244,19.037970317460502,13.02678504576216
islam,AFD,#21a1ff,#21a1ff,10,12,64.10835,98.25055,1.6163511,49.877964,0.864228686824141,22.446777467883624
arbeitsplätze,CDUCSU,#343434,#343434,10,12,45.96926,29.371801,73.36229,55.88277,17.64612226577862,12.225092860220318
partei,AFD,#21a1ff,#21a1ff,10,12,51.099842,66.45912,40.52037,44.416477,14.201765337999644,22.29205009163769
arbeit,Linke,#900C3F,#900C3F,10,12,8.638991,23.885643,94.66138,94.35206,33.25942277873779,6.379732165877243
12,AFD,#21a1ff,#21a1ff,10,12,66.51237,96.78362,3.5979505,50.129025,1.7127734473235816,24.688463155368918
erfolgreich,CDUCSU,#343434,#343434,10,12,64.2629,32.537903,59.79698,55.346363,9.200878986385863,16.187307959888685
freiheitlich,AFD,#21a1ff,#21a1ff,10,12,57.236244,93.1205,6.217053,47.023415,3.7520042441257053,21.224048000793356
schaffen,Gruene,#029e00,#029e00,10,12,7.0963407,15.0389595,100.0,93.08623,45.16825201653563,3.646213597812764
möglichkeit,FDP,#ffe800,#ffe800,10,12,35.395267,27.991661,82.91521,63.741524,19.81707280912767,12.177426173829675
geben,FDP,#ffe800,#ffe800,10,12,40.93893,33.71522,76.81159,61.365707,16.994462112728538,16.360626324328393
frau,Gruene,#029e00,#029e00,10,12,1.7171761,19.577915,97.941666,98.1124,38.395367547915114,2.7893116848153467
solidarisch,Linke,#900C3F,#900C3F,10,12,83.19063,71.222855,48.95448,10.512248,5.813124769972642,12.79929927015743
führen,AFD,#21a1ff,#21a1ff,10,12,56.840015,69.18833,37.01064,46.433525,10.953038217306013,21.073326943486148
ausbildung,FDP,#ffe800,#ffe800,10,12,61.924316,47.92115,64.51195,42.694603,12.053028565525203,14.444539849775964
demokratie,Linke,#900C3F,#900C3F,10,12,79.59381,47.72971,66.88394,26.55042,17.890790090497696,13.756054584088245
windenergieanlagen,AFD,#21a1ff,#21a1ff,10,12,59.29771,99.24044,0.062179968,45.28817,0.0,21.331706903150156
rahmen,FDP,#ffe800,#ffe800,10,12,56.247158,47.27944,66.25064,47.169605,13.42843255700795,13.691962787572553
hören,FDP,#ffe800,#ffe800,10,12,60.056393,52.23471,64.56991,40.60349,14.58643407474024,15.675123891504109
unabhängig,Linke,#900C3F,#900C3F,10,12,72.180046,54.814644,60.25827,28.54902,11.557298511625643,14.3358971369653
daseinsvorsorge,Linke,#900C3F,#900C3F,10,12,82.89436,76.99944,47.214737,6.5145783,2.6272887356450467,14.541744335646579
sozial,Linke,#900C3F,#900C3F,10,12,3.2730587,26.107172,97.077095,95.01561,60.925214612951606,0.0
entscheiden,Gruene,#029e00,#029e00,10,12,61.487614,55.796093,57.336998,36.356007,14.934213531280236,16.956312235518222
kosten,AFD,#21a1ff,#21a1ff,10,12,59.12466,66.537704,37.07065,45.57669,10.81671519207409,18.887278294495605
