label,party,color,fontcolor,size,fontsize,dim11,dim12,dim21,dim22,dim31,dim32,size_1949,size_1953,size_1957,size_1961,size_1965,size_1969,size_1972,size_1976,size_1980,size_1983,size_1987,size_1990,size_1994,size_1998,size_2002,size_2005,size_2009,size_2013,size_2017
kraft,SPD,#cc0000,#cc0000,10,12,63.000698,34.18892,60.20878,53.029984,10.233667559350339,14.291695136990151,10.084033613445378,33.33333333333333,18.75,20.833333333333332,20.11834319526627,14.285714285714288,24.137931034482758,22.047244094488185,22.881355932203387,32.53012048192771,16.243332993921562,14.393003501815048,15.485215124820112,9.74868707059295,9.424083769633508,10.588235294117647,9.900990099009901,6.692913385826772,6.566347469220246
produkt,Gruene,#029e00,#029e00,10,12,71.81494,64.669556,52.898224,27.296131,8.280182019869493,15.157764619092395,0.9769066634435084,0.0,0.0,0.0,3.439405116857322,3.321482655707928,2.0043429818927154,1.830738471650039,6.896298734308834,8.403751297574276,10.552366458465356,10.140690317083488,20.522115509341436,13.666304810291036,12.781621737933651,12.650941291593432,17.034930848086205,14.188223155287805,12.722505384380572
friede,CDUCSU,#343434,#343434,10,12,60.912617,33.733097,62.169178,55.81859,11.936240369111694,14.457017482079998,8.403361344537814,14.285714285714288,43.75000000000001,8.333333333333334,14.20118343195266,31.428571428571434,32.758620689655174,19.685039370078737,46.61016949152542,59.036144578313255,25.320489666995382,17.446064850684905,12.697876402352492,7.454878348100492,8.115183246073299,9.117647058823529,10.495049504950495,7.742782152230972,8.481532147742818
demokrat,FDP,#ffe800,#ffe800,10,12,64.3727,23.97654,56.053562,65.00053,4.429153785722361,16.73243328946631,0.0,0.0,0.0,10.192862927618414,4.342521483955774,3.4946958608977416,2.1088681919210512,2.889315475545377,27.98718295379971,4.421000787882686,0.0,0.5334760429481186,0.7576256408254795,0.3507071683581171,0.6403892938817852,0.35974810332770873,0.242206643824596,0.3210350528383753,42.835123000880664
gewerkschaft,Linke,#900C3F,#900C3F,10,12,85.411766,74.04994,49.03674,7.875448,6.008777696004514,13.04746358621236,5.573246297434419,2.6318107515662534,0.0,6.140891753654591,1.962178430161822,0.0,3.8115879850269874,13.925801772067103,7.493969597680178,17.31287554644788,10.033530580855752,8.677886057798826,4.4503537976153185,8.874199573101395,2.3148911322676993,3.901272408204093,5.472081760682309,6.817840450907853,10.13121129262303
privat,FDP,#ffe800,#ffe800,10,12,31.692127,36.76669,78.97776,68.26065,18.563421843532975,18.715849321018897,14.285714285714285,9.523809523809526,9.375,6.944444444444445,3.550295857988165,17.142857142857142,15.517241379310342,10.236220472440944,16.94915254237288,18.072289156626507,17.198823170034597,20.499126199554766,28.49279582966901,19.210648050874347,21.20418848167539,16.76470588235294,22.970297029702973,22.178477690288716,16.55266757865937
90,Gruene,#029e00,#029e00,10,12,98.296555,58.121555,87.29837,0.87974983,5.340946860696659,12.19912020276961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.226546635595675,100.0,15.049403653461951,10.708683501649691,3.0357080900976716,2.766298956773715,1.572878849691509
privatisierung,Linke,#900C3F,#900C3F,10,12,80.29296,77.14359,47.854176,7.0762196,4.07925176947821,15.62888447856544,0.0,0.0,0.0,3.397620975872805,0.7237535806592957,6.989391721795483,4.2177363838421025,5.778630951090754,1.0365623316222115,0.0,0.5843508236283675,4.801284386533068,18.183015379811504,9.118386377311046,6.403892938817853,4.316977239932505,5.812959451790304,6.581218583186693,7.864260863442936
sozialdemokrat,SPD,#cc0000,#cc0000,10,12,76.99491,29.237196,61.11725,49.14332,5.02222980387168,14.308376178409759,2.7866231487172093,0.0,6.908503222861414,0.0,15.697427441294575,34.73990192067454,19.05793992513494,80.07336018938585,15.924685395070378,54.60214595418178,13.730094479065766,0.48210478098882376,2.054009445053224,0.3169356990393356,0.8680841746003871,1.300424136068031,2.8454825155548007,1.595664786382689,1.058484761915839
kriegen,Linke,#900C3F,#900C3F,10,12,81.77742,75.357346,47.024063,6.57797,3.6984094036001345,14.166530371584473,6.722689075630252,2.3809523809523814,6.25,1.388888888888889,4.733727810650888,8.571428571428571,3.4482758620689653,0.7874015748031495,5.932203389830508,9.638554216867469,4.299705792508649,3.053061348869859,5.264973142438838,4.014165264361804,2.879581151832461,2.0588235294117645,3.762376237623762,3.4120734908136483,8.481532147742818
